raw_label,category_final,include,notes,example_hint
政治,政治,yes,直接屬於政府/政黨/選舉/立法院/中央或地方政治議題,選舉辯論與政策攻防
選舉,政治,yes,總統/立委/地方選舉與罷免皆歸政治,候選人民調與造勢
政黨,政治,yes,政黨表態/黨務/黨團攻防歸政治,藍綠白政黨新聞
政府,政治,yes,行政院/部會施政與政治決策優先歸政治,內閣改組與政策宣布
國會,政治,yes,立法院審議/質詢/法案攻防歸政治,朝野協商
外交,國際,yes,若重點是國與國互動/國際局勢則歸國際,台美關係與國際會談
兩岸,國際,yes,若主軸是台海/中國/兩岸關係與區域局勢則歸國際,兩岸交流與軍事緊張
社會,社會,yes,直接屬於治安/事故/司法/公共事件/勞資與社會議題,車禍火警與法院判決
治安,社會,yes,犯罪/詐騙/警方偵辦歸社會,詐騙集團遭逮
司法,社會,yes,法院審理/檢調偵辦/判決執行歸社會,起訴與判刑
事故,社會,yes,火災/車禍/工安/災害現場事件歸社會,工地坍塌
教育,社會,yes,若主軸是制度爭議/校園事件/社會政策影響則歸社會,校園霸凌與學制改革
醫療,社會,yes,若重點是醫療制度/公衛政策/院內爭議則歸社會,急診壅塞與醫護勞權
生活,生活,yes,直接屬於民生消費/旅遊/美食/居家/交通資訊/天氣提醒/娛樂軟性內容,超商新品與連假出遊
消費,生活,yes,價格優惠/新品上市/通路促銷歸生活,電商折扣活動
旅遊,生活,yes,景點住宿交通玩法歸生活,櫻花季攻略
美食,生活,yes,餐飲推薦/食品話題/飲食趨勢歸生活,排隊名店開幕
健康,生活,yes,若重點是保健知識/日常養生/生活型態則歸生活,春季過敏保健
交通,生活,yes,若是通勤資訊/疏運/票價/日常交通提醒則歸生活,連假國道疏運
娛樂,生活,yes,明星影劇綜藝與輕量文化生活內容歸生活,影集上映與藝人動態
國際,國際,yes,直接屬於海外政治/戰爭/外交/全球經濟與國際重大事件,美國大選與俄烏戰爭
戰爭,國際,yes,國際衝突與軍事情勢歸國際,中東戰事
全球,國際,yes,跨國事件/國際組織/全球趨勢歸國際,聯合國決議
財經,exclude,no,本研究不設財經獨立類別；依主軸改歸政治/國際/生活,央行政策歸政治；國際油價歸國際；省錢消費歸生活
股市,exclude,no,不單列；若純投資盤勢且無法歸類建議剔除,台股收盤行情
體育,exclude,no,本研究四分類不含體育；大型體壇國際事件才可依主軸歸國際,中華隊海外賽事可視情況歸國際
科技,exclude,no,科技新品/產業消息不單列；依主軸改歸生活或國際，否則剔除,手機發表歸生活
地方,社會,yes,地方公共事件/民怨/地方治理爭議多歸社會；若為選舉施政攻防可歸政治,地方抗議與縣市議會攻防
環境,社會,yes,污染/環保抗爭/公共安全爭議多歸社會；若是國際氣候峰會可歸國際,空污與廢棄物爭議
氣象,生活,yes,日常天氣提醒與生活影響歸生活；若是重大災害現場事件可歸社會,低溫特報與下雨提醒
疫情,社會,yes,若主軸是政策/醫療量能/社會影響歸社會；若是日常保健提醒可歸生活,口罩政策與院內感染
文化,生活,yes,展覽/表演/閱讀/節慶等軟性內容歸生活,書展與演唱會
評論,exclude,no,純社論/觀點文先不納入；若標題可明確辨識新聞事件再依主軸分類,專欄評論
未分類,exclude,no,標題資訊不足或高度模糊時暫不納入正式資料集,無法判定主題
